record_name,window_idx,rr_ms_mean,rr_ms_std,rr_ms_min,rr_ms_max,rr_ms_25%,rr_ms_50%,rr_ms_75%
infant1,158,379.36,6.730254566553351,368.0,392.0,373.0,378.0,384.0
infant1,159,375.52,3.7592878179196636,368.0,384.0,372.0,376.0,376.0
infant1,160,374.32,9.146070863758817,360.0,404.0,368.0,374.0,379.0
infant1,161,371.76,10.76380935527635,360.0,404.0,364.0,368.0,375.0
infant1,162,377.36,11.098372743380914,360.0,404.0,368.0,376.0,384.0
infant1,163,381.28,7.292825661048602,368.0,404.0,377.0,380.0,384.0
infant1,164,373.52,6.804080408408004,364.0,384.0,368.0,372.0,380.0
infant1,165,368.88,3.7287629945315315,364.0,380.0,368.0,368.0,372.0
infant1,166,378.96,24.65513979614285,364.0,456.0,368.0,370.0,376.0
infant1,167,383.6,24.206593805685866,364.0,456.0,368.0,376.0,387.0
infant1,168,377.6,8.703740692415895,368.0,408.0,372.0,376.0,380.0
infant1,169,371.44,6.761716965869734,364.0,396.0,368.0,368.0,375.0
infant1,170,370.24,5.430676283664788,364.0,384.0,368.0,368.0,375.0
infant1,171,373.92,4.864867806581202,364.0,384.0,372.0,376.0,376.0
infant1,172,377.6,4.780914437337574,368.0,392.0,376.0,376.0,380.0
infant1,173,382.72,7.5133622463513605,372.0,400.0,376.0,380.0,388.0
infant1,174,392.32,10.80710272865744,372.0,412.0,388.0,394.0,400.0
infant1,175,398.0,8.898520858512821,384.0,424.0,392.0,396.0,404.0
infant1,176,397.44,10.713638075664425,384.0,424.0,388.0,396.0,404.0
infant1,177,401.04,13.224837485981151,384.0,432.0,392.0,400.0,408.0
infant1,178,396.72,13.369230588579594,384.0,432.0,388.0,392.0,403.0
infant1,179,394.08,10.758651004125538,384.0,416.0,388.0,392.0,396.0
infant1,180,398.08,12.0472538999812,384.0,424.0,388.0,392.0,407.0
infant1,181,389.52,12.037763708515001,376.0,424.0,380.0,386.0,392.0
infant1,182,382.08,6.060376495343018,372.0,404.0,380.0,380.0,384.0
infant1,183,384.08,7.067719084770171,372.0,404.0,380.0,384.0,388.0
infant1,184,395.6,13.235696939314822,376.0,420.0,384.0,396.0,407.0
infant1,185,395.12,13.673510813217785,376.0,420.0,384.0,392.0,407.0
infant1,186,388.56,6.565711799079475,376.0,400.0,384.0,392.0,392.0
infant1,187,395.76,3.992646301614497,388.0,404.0,392.0,396.0,400.0
infant1,188,398.96,4.41222790685622,392.0,412.0,396.0,400.0,400.0
infant1,189,399.6,4.295227536677974,392.0,412.0,396.0,400.0,403.0
infant1,190,401.28,3.2766334141329034,396.0,408.0,400.0,400.0,404.0
infant1,191,400.64,3.5557369568237815,392.0,408.0,400.0,400.0,404.0
infant1,192,396.96,3.1877315842243092,392.0,404.0,396.0,396.0,400.0
infant1,193,394.88,2.560612171703781,392.0,404.0,392.0,396.0,396.0
infant1,194,395.52,3.1959157609393287,392.0,404.0,392.0,396.0,396.0
infant1,195,396.56,5.047367469022534,388.0,412.0,392.0,396.0,400.0
infant1,196,389.6,8.514093957572193,376.0,412.0,384.0,388.0,395.0
infant1,197,379.68,4.263944709983457,372.0,388.0,376.0,380.0,383.0
infant1,198,372.8,5.046720495044484,364.0,380.0,368.0,374.0,376.0
infant1,199,378.88,15.162574763851547,364.0,432.0,368.0,376.0,384.0
infant1,200,384.8,12.929952570268297,372.0,432.0,376.0,380.0,388.0
infant1,201,376.16,9.28320845309818,364.0,404.0,368.0,376.0,380.0
infant1,202,390.72,25.789603980468325,364.0,460.0,368.0,384.0,404.0
infant1,203,400.24,21.079596479892636,380.0,460.0,384.0,392.0,404.0
